2021-11-10 14:54:23.361,write _RTCM (931)
2021-11-10 14:54:23.404,write _SPaT (6608)
2021-11-10 14:54:23.434,write _SPaT (6608)
2021-11-10 14:54:24.429,write _RTCM (931)
2021-11-10 14:54:25.375,write _RTCM (213)
2021-11-10 14:54:26.358,write _RTCM (1121)
2021-11-10 14:54:33.372,write _RTCM (931)
2021-11-10 14:54:34.389,write _RTCM (931)
2021-11-10 14:54:52.349,write _RTCM (891)
2021-11-10 14:54:53.361,write _RTCM (931)
2021-11-10 14:54:54.524,write _RTCM (931)
2021-11-10 14:54:55.352,write _RTCM (213)
2021-11-10 14:54:56.360,write _RTCM (1121)
2021-11-10 14:54:57.341,write _RTCM (931)
2021-11-10 14:56:12.464,write _RTCM (891)
2021-11-10 14:56:13.466,write _RTCM (891)
2021-11-10 14:56:14.449,write _RTCM (173)
2021-11-10 14:56:15.481,write _RTCM (1081)
2021-11-10 14:56:47.474,write _RTCM (891)
2021-11-10 14:56:48.060,write _MAP (93490)
2021-11-10 14:56:48.060,write _SPaT (6084)
2021-11-10 14:56:48.338,write _SPaT (6084)
2021-11-10 14:56:48.414,write _SPaT (6084)
2021-11-10 14:56:48.476,write _RTCM (971)
2021-11-10 14:56:48.631,write _SPaT (6084)
2021-11-10 14:56:48.816,write _SPaT (6084)
2021-11-10 14:56:49.114,write _TIM (2063)
2021-11-10 14:56:49.123,write _MAP (93490)
2021-11-10 14:56:49.124,write _SPaT (6084)
2021-11-10 14:56:49.463,write _RTCM (971)
2021-11-10 14:56:49.733,write _SPaT (6084)
2021-11-10 14:56:49.733,write _SPaT (6084)
2021-11-10 14:56:49.734,write _SPaT (6084)
2021-11-10 14:56:49.816,write _SPaT (6081)
2021-11-10 14:56:49.985,write _TIM (2063)
2021-11-10 14:56:50.023,write _SPaT (6081)
2021-11-10 14:56:50.169,write _MAP (93490)
2021-11-10 14:56:50.335,write _SPaT (6081)
2021-11-10 14:56:50.415,write _SPaT (6081)
2021-11-10 14:56:50.452,write _RTCM (951)
2021-11-10 14:56:50.650,write _SPaT (6081)
2021-11-10 14:56:50.867,write _SPaT (6081)
2021-11-10 14:56:50.892,write _TIM (2063)
2021-11-10 14:56:51.015,write _MAP (93490)
2021-11-10 14:56:51.041,write _SPaT (6081)
2021-11-10 14:56:51.355,write _SPaT (6081)
2021-11-10 14:56:51.533,write _RTCM (971)
2021-11-10 14:56:51.533,write _SPaT (6081)
2021-11-10 14:56:51.773,write _SPaT (6081)
2021-11-10 14:56:51.867,write _SPaT (6081)
2021-11-10 14:56:51.980,write _MAP (93490)
2021-11-10 14:56:52.038,write _SPaT (6081)
2021-11-10 14:56:52.353,write _SPaT (6081)
2021-11-10 14:56:52.478,write _RTCM (971)
2021-11-10 14:56:52.483,write _SPaT (6081)
2021-11-10 14:56:52.675,write _SPaT (6081)
2021-11-10 14:56:52.869,write _SPaT (6081)
2021-11-10 14:56:53.256,write _MAP (93490)
2021-11-10 14:56:53.256,write _SPaT (6081)
2021-11-10 14:56:53.553,write _RTCM (891)
2021-11-10 14:56:53.582,write _SPaT (6081)
2021-11-10 14:56:53.582,write _SPaT (6081)
